cluster_id,x,y,z,radius,label,points_in,points_out,in_out_ratio
54,-0.8746918,217.72894,61.91239,11.325953,subtraction,39,25,0.609375
55,-46.792526,211.71193,239.62048,17.26219,addition,64,68,0.48484848484848486
56,-264.04388,66.61525,275.49844,16.59041,subtraction,61,4,0.9384615384615385
57,-114.0838,47.10736,163.83885,16.723095,addition,52,80,0.3939393939393939
58,-46.94218,107.93029,182.08391,23.023252,subtraction,42,23,0.6461538461538462
59,-29.427893,82.02115,176.85455,17.452303,addition,68,86,0.44155844155844154
60,-307.95038,301.46194,53.674557,11.35619,subtraction,43,3,0.9347826086956522
61,-60.25207,201.71675,238.8657,8.155491,addition,20,23,0.46511627906976744
62,-220.4043,277.01556,168.78816,8.538388,subtraction,23,5,0.8214285714285714
63,-199.28058,75.646866,244.75192,16.78876,addition,76,103,0.4245810055865922
64,-16.368896,310.59174,56.20847,28.27946,subtraction,165,98,0.6273764258555133
65,-241.29247,-0.28731528,36.054073,15.812374,subtraction,68,62,0.5230769230769231
66,-41.177727,203.83946,160.25806,11.301937,addition,38,44,0.4634146341463415
67,-39.086224,2.32274,41.711567,8.301152,subtraction,23,1,0.9583333333333334
68,-229.78801,253.33064,382.2409,9.563775,subtraction,25,5,0.8333333333333334
69,-110.99365,202.70381,155.13623,8.074542,addition,7,13,0.35
70,-90.06874,217.8875,337.51282,16.422668,subtraction,34,10,0.7727272727272727
71,-60.930634,72.57568,463.33154,8.408324,addition,6,34,0.15
72,-43.43773,266.27985,165.51215,11.215676,subtraction,27,5,0.84375
73,-104.9792,73.274445,293.2087,23.29889,subtraction,84,59,0.5874125874125874
74,-9.237572,0.026950723,61.845566,13.183433,addition,36,38,0.4864864864864865
75,-208.5001,269.52542,185.76852,14.10067,tie,36,36,0.5
76,-246.58423,37.126225,199.07166,16.545713,subtraction,54,9,0.8571428571428571
77,-251.72197,275.92734,173.82355,9.510075,subtraction,23,4,0.8518518518518519
78,-215.77301,265.57718,225.18729,10.209303,subtraction,25,6,0.8064516129032258
79,0.508679,167.27437,82.292274,13.089268,addition,16,31,0.3404255319148936
80,-256.5954,61.8844,321.71893,21.507193,subtraction,84,15,0.8484848484848485
81,-106.1196,77.61082,256.73428,13.801571,subtraction,47,10,0.8245614035087719
82,-267.2232,308.76477,37.845074,17.04699,subtraction,61,3,0.953125
83,-119.36362,223.7583,158.52444,14.145845,subtraction,40,27,0.5970149253731343
84,0.9722236,267.72073,67.60877,9.568039,addition,15,23,0.39473684210526316
85,-209.23692,79.487144,296.0029,14.515359,subtraction,54,8,0.8709677419354839
86,-88.2053,66.52435,452.29556,12.762577,addition,15,42,0.2631578947368421
87,-51.94021,217.54436,285.26672,7.7402153,subtraction,18,3,0.8571428571428571
88,-270.82587,99.71084,192.6358,10.725231,subtraction,27,4,0.8709677419354839
89,-269.48895,266.80637,189.07805,12.0439625,tie,26,26,0.5
90,-46.754486,47.871098,192.85782,7.562715,subtraction,18,2,0.9
91,-251.09024,241.34286,451.3162,13.478577,addition,21,48,0.30434782608695654
92,-204.65692,255.26978,241.72392,5.668119,subtraction,9,6,0.6
93,-263.5639,89.72585,276.1262,10.615756,subtraction,32,5,0.8648648648648649
94,-155.89543,307.38437,102.2322,8.560092,addition,8,12,0.4
95,-52.96334,220.57144,299.6036,9.75813,subtraction,32,7,0.8205128205128205
96,-200.84683,221.18614,276.43414,14.847957,addition,3,48,0.058823529411764705
97,-252.2721,88.80923,389.06387,6.989037,subtraction,12,11,0.5217391304347826
98,-269.54892,63.545044,246.52605,8.586796,subtraction,17,6,0.7391304347826086
99,-251.94449,90.06992,347.53506,13.475042,subtraction,39,10,0.7959183673469388
100,-252.57372,203.36195,228.02646,8.804684,subtraction,22,4,0.8461538461538461
101,-209.22511,51.65631,239.11928,8.910335,subtraction,25,5,0.8333333333333334
102,-214.69025,252.4935,311.03897,8.576705,subtraction,18,7,0.72
103,-309.9792,138.57506,9.058107,19.747438,subtraction,57,52,0.5229357798165137
104,-95.758156,216.77948,303.43103,8.994247,subtraction,15,3,0.8333333333333334
105,-93.15031,272.21967,218.11897,11.267238,tie,21,21,0.5
106,-220.3774,278.09186,154.68488,10.076462,subtraction,18,3,0.8571428571428571
107,-80.878105,53.78537,347.91306,9.246013,subtraction,19,8,0.7037037037037037
108,-262.57895,230.71423,297.23206,11.29826,subtraction,34,8,0.8095238095238095
109,-247.13626,121.26678,178.1036,7.3960576,addition,7,10,0.4117647058823529
110,-256.24454,203.00957,214.20709,9.690574,subtraction,21,3,0.875
111,-239.35484,121.23969,153.73152,5.828385,subtraction,15,3,0.8333333333333334
